ScGl_data_id,Site,Year,Tag,Transect,X-coord(m),Y-coord(m),Degrees,Direction,Height(cm),Width(cm),Fl,Br,Minis,PhotoNumber,Comments,X_coord_old,Y_coord_old
2893,,2012,,,,,,,8.1,6.5,y,n,,,,0.7,22.1
2892,,2012,,,,,,,5.2,4.9,y,n,,,,0.1,14.1
9602,,2014,,,,,,,5.6,6.2,n,n,,,,,
9610,,2014,,,,,,,4.6,2.1,n,n,,,"hidden in grass, also in 5",,
9553,,2014,,,,,,,1.9,1.1,n,n,,,,,
9601,,2014,,,,,,,9.4,6.3,n,n,,,,,
10236,,2015,,,,,,,6.6,6,y,n,,,,,
10196,,2015,,,,,,,9,10.6,y,n,,,,,
11105,,2015,,,,,,,13,9.8,y,n,,,,,
2085,,2010,237,,,,,,5.3,6.7,y,n,,2815,"solitary - to SW",2.75,1
2083,,2011,237,,,,,,8.7,6.3,y,n,,3951,,2.75,1
2084,,2012,237,,,,,,8.1,6.4,y,n,,,,2.75,1
2087,,2010,237.01,,,,,,6.1,5.3,y,n,,2816,"closest to nail",2.75,1
2088,,2011,237.01,,,,,,6.1,5.8,y,n,,3952,,2.75,1
2086,,2012,237.01,,,,,,4.3,5.2,n,n,,,,2.75,1
2089,,2010,237.02,,,,,,6.5,5.4,y,n,,2817,"N of 237.1",2.75,1
2090,,2011,237.02,,,,,,6,6.4,y,n,,3952,,2.75,1
2091,,2012,237.02,,,,,,5.1,6.8,y,n,,,,2.75,1
2093,,2010,237.03,,,,,,7.4,5.8,y,n,,2817,clockwise,2.75,1
2094,,2011,237.03,,,,,,8,5.8,y,n,,3952,,2.75,1
2092,,2012,237.03,,,,,,4.4,5.6,y,n,,,,2.75,1
2097,,2010,237.04,,,,,,8.8,6.1,n,n,,2817,clockwise,2.75,1
2096,,2011,237.04,,,,,,7,5.5,y,n,,3952,,2.75,1
2095,,2012,237.04,,,,,,6.4,4.1,n,n,,,,2.75,1
2099,,2010,237.05,,,,,,4.8,6.2,y,n,,2817,clockwise,2.75,1
2100,,2011,237.05,,,,,,6,6.2,y,n,,3952,,2.75,1
2098,,2012,237.05,,,,,,4.1,5.7,y,n,,,,2.75,1
2075,,2010,278,,,,,,8.2,7.6,y,n,,,East,0.94,0.7
2074,,2011,278,,,,,,8.7,6.5,y,n,,3947,,0.94,0.7
2076,,2012,278,,,,,,11.4,7.7,y,n,,,,0.94,0.7
2079,,2010,278.01,,,,,,9.3,5.8,n,n,,,"West; damaged - rot?",0.94,0.7
2078,,2011,278.01,,,,,,9.6,4.9,n,n,,3945,,0.94,0.7
2077,,2012,278.01,,,,,,10,4.8,y,n,,,,0.94,0.7
2109,,2010,383,,,,,,8,9,y,n,,2822,,1,27.98
2108,,2011,383,,,,,,9.8,7.5,y,n,,3956,,1,27.98
2107,,2012,383,,,,,,8.4,7.3,y,n,,,,1,27.98
2082,,2010,724,,,,,,23.5,10,y,n,,2814,,0.11,4.12
2081,,2011,724,,,,,,18.5,9.5,y,n,,3950,,0.11,4.12
2080,,2012,724,,,,,,17,8.2,y,n,,,,0.11,4.12
2067,,2010,744,,,,,,6.5,6.7,y,n,,2810,,0.15,26.53
2066,,2011,744,,,,,,6.4,6.7,y,n,,3953,,0.15,26.53
2065,,2012,744,,,,,,9.6,5.6,y,n,,,,0.15,26.53
2102,,2010,763,,,,,,5.5,6.7,y,n,,2818,,0.5,26.26
2103,,2011,763,,,,,,6,6.8,y,n,,3955,,0.5,26.26
2101,,2012,763,,,,,,3.2,6.4,n,y,3,,"+3 mini",0.5,26.26
2115,,2010,927,,,,,,9.1,8.5,y,n,,2824,"S of tag",0.23,11.64
2113,,2011,927,,,,,,11.6,7.5,y,n,,3957,,0.23,11.64
2114,,2012,927,,,,,,10.9,7.9,y,n,,,,0.23,11.64
2118,,2010,927.01,,,,,,5.2,4.9,n,n,,2825,,0.23,11.64
2116,,2011,927.01,,,,,,0.8,1.5,n,n,,3958,"axillary bud off from dead",0.23,11.64
2117,,2012,927.01,,,,,,4,2.1,n,n,,,,0.23,11.64
2063,,2010,940,,,,,,12.4,7.5,y,n,,2809,,0.9,27.67
2064,,2011,940,,,,,,10.5,7.7,y,n,,3954,,0.9,27.67
2062,,2012,940,,,,,,11,7.1,y,n,,,,0.9,27.67
2104,,2010,960,,,,,,9.9,6.4,y,n,,2821,,0.53,12.14
2105,,2011,960,,,,,,,,n,n,,,dead,0.53,12.14
2106,,2012,960,,,,,,,,n,n,,,dead,0.53,12.14
2112,,2010,963,,,,,,6,6.2,y,n,,2823,,0.04,12
2111,,2011,963,,,,,,6,5.1,n,n,,3959,,0.04,12
2110,,2012,963,,,,,,3.4,4.5,n,n,,,,0.04,12
2070,,2010,977,,,,,,9.3,6.8,y,n,,2812,"tag to S - furthest S",0.62,2.63
2068,,2011,977,,,,,,7.9,5.6,y,n,,3948,,0.62,2.63
2069,,2012,977,,,,,,5.4,5.8,y,n,,,,0.62,2.63
2071,,2010,977.01,,,,,,9.2,5.3,y,n,,2812,"tag to S",0.62,2.63
2073,,2011,977.01,,,,,,7.8,5.7,y,n,,3942,,0.62,2.63
2072,,2012,977.01,,,,,,4.7,5.5,y,n,,,,0.62,2.63
1105,"Atwell Gulch_108",2009,185,2.4,0.1,6.63,,,8.2,10.3,y,n,,"1605, 1606","largest of 3; also photos 1607, 1608",0,0
1103,"Atwell Gulch_108",2010,185,2.4,0.1,6.63,,,9.5,8.3,y,n,,900,"No tag 186",0,0
1104,"Atwell Gulch_108",2011,185,2.4,0.1,6.63,,,7.7,9,y,n,,3800,,0,0
1102,"Atwell Gulch_108",2012,185,2.4,0.1,6.63,,,6.5,8.1,y,n,,,,0,0
6075,"Atwell Gulch_108",2013,185,2.4,0.1,6.63,,,7.6,8.3,y,n,,,"9 o'c",0,0
7748,"Atwell Gulch_108",2014,185,2.4,0.1,6.63,,,8.1,9.5,y,n,1,,,0,0
9613,"Atwell Gulch_108",2015,185,2.4,0.1,6.63,,,9.2,9.6,y,n,2,,,0,0
1109,"Atwell Gulch_108",2009,185.01,2.4,0.1,6.63,,,2.9,4.2,n,n,,,"at baseof largest, close to transect line",0,0
1106,"Atwell Gulch_108",2010,185.01,2.4,0.1,6.63,,,2.7,3.6,y,n,,901,,0,0
1108,"Atwell Gulch_108",2011,185.01,2.4,0.1,6.63,,,2.1,4.2,y,n,,3800,,0,0
1107,"Atwell Gulch_108",2012,185.01,2.4,0.1,6.63,,,2.6,3.9,y,n,,,,0,0
6076,"Atwell Gulch_108",2013,185.01,2.4,0.1,6.63,,,4,4.3,y,n,,,"6 o'c",0,0
7749,"Atwell Gulch_108",2014,185.01,2.4,0.1,6.63,,,3.1,4.6,y,n,,,,0,0
9614,"Atwell Gulch_108",2015,185.01,2.4,0.1,6.63,,,4.7,5.4,y,n,,,,0,0
1111,"Atwell Gulch_108",2009,185.02,2.4,0.1,6.63,,,1,0.5,n,n,,,"tiny plants at base of large individual",0,0
1110,"Atwell Gulch_108",2010,185.02,2.4,0.1,6.63,,,0.5,0.3,n,n,,902,"clockwise from furthest from tag against rock",0,0
1113,"Atwell Gulch_108",2011,185.02,2.4,0.1,6.63,,,1.1,0.6,n,n,,3800,,0,0
1112,"Atwell Gulch_108",2012,185.02,2.4,0.1,6.63,,,1,0.5,n,n,,,,0,0
6077,"Atwell Gulch_108",2013,185.02,2.4,0.1,6.63,,,1.4,0.9,n,n,,,"4 o'c",0,0
7750,"Atwell Gulch_108",2014,185.02,2.4,0.1,6.63,,,1.3,1.8,n,n,,,,0,0
9615,"Atwell Gulch_108",2015,185.02,2.4,0.1,6.63,,,2.2,2.6,n,n,,,,0,0
1115,"Atwell Gulch_108",2009,185.03,2.4,0.1,6.63,,,1,0.5,n,n,,,"tiny plants at base of large individual",0,0
1114,"Atwell Gulch_108",2010,185.03,2.4,0.1,6.63,,,0.5,0.3,n,n,,,"all at base of largest",0,0
1117,"Atwell Gulch_108",2011,185.03,2.4,0.1,6.63,,,1,0.8,n,n,,3800,3800,0,0
1116,"Atwell Gulch_108",2012,185.03,2.4,0.1,6.63,,,0.8,0.7,n,n,,,,0,0
6078,"Atwell Gulch_108",2013,185.03,2.4,0.1,6.63,,,1.9,1.3,n,n,,,"10 o'c",0,0
9616,"Atwell Gulch_108",2015,185.03,2.4,0.1,6.63,,,0,0,n,n,,,dead,0,0
1120,"Atwell Gulch_108",2009,185.04,2.4,0.1,6.63,,,1,0.5,n,n,,,"tiny plants at base of large individual",0,0
1118,"Atwell Gulch_108",2010,185.04,2.4,0.1,6.63,,,0.3,0.2,n,n,,,,0,0
1121,"Atwell Gulch_108",2011,185.04,2.4,0.1,6.63,,,0.8,0.7,n,n,,,,0,0
1119,"Atwell Gulch_108",2012,185.04,2.4,0.1,6.63,,,0.4,0.3,n,n,,,,0,0
6079,"Atwell Gulch_108",2013,185.04,2.4,0.1,6.63,,,1,0.6,n,n,,,"11 o'c",0,0
7751,"Atwell Gulch_108",2014,185.04,2.4,0.1,6.63,,,0.8,0.6,n,n,,,,0,0
9617,"Atwell Gulch_108",2015,185.04,2.4,0.1,6.63,,,1.3,1.3,n,n,,,,0,0
1124,"Atwell Gulch_108",2009,185.05,2.4,0.1,6.63,,,1,0.5,n,n,,,"tiny plants at base of large individual",0,0
1122,"Atwell Gulch_108",2010,185.05,2.4,0.1,6.63,,,0.4,0.2,n,n,,,,0,0
1125,"Atwell Gulch_108",2011,185.05,2.4,0.1,6.63,,,1,0.6,n,n,,3800,,0,0
1123,"Atwell Gulch_108",2012,185.05,2.4,0.1,6.63,,,0.4,0.3,n,n,,,,0,0
6080,"Atwell Gulch_108",2013,185.05,2.4,0.1,6.63,,,0.7,0.5,n,n,,,"8 o'c",0,0
7752,"Atwell Gulch_108",2014,185.05,2.4,0.1,6.63,,,0.9,0.6,n,n,,,,0,0
9618,"Atwell Gulch_108",2015,185.05,2.4,0.1,6.63,,,1.2,0.7,n,n,,,,0,0
1128,"Atwell Gulch_108",2009,185.06,2.4,0.1,6.63,,,1,0.5,n,n,,,"tiny plants at base of large individual",0,0
1127,"Atwell Gulch_108",2010,185.06,2.4,0.1,6.63,,,0.5,0.4,n,n,,,,0,0
1129,"Atwell Gulch_108",2011,185.06,2.4,0.1,6.63,,,1,0.9,n,n,,3800,,0,0
1126,"Atwell Gulch_108",2012,185.06,2.4,0.1,6.63,,,0.4,0.2,n,n,,,,0,0
6081,"Atwell Gulch_108",2013,185.06,2.4,0.1,6.63,,,0.4,0.3,n,n,,,"11 o'c",0,0
7753,"Atwell Gulch_108",2014,185.06,2.4,0.1,6.63,,,0.7,0.5,n,n,,,,0,0
9619,"Atwell Gulch_108",2015,185.06,2.4,0.1,6.63,,,1.1,0.9,n,n,,,,0,0
1729,"Atwell Gulch_108",2009,185.07,2.4,0.1,6.63,,,4.2,7.4,y,n,,,"lower plant, closest",0,0
1726,"Atwell Gulch_108",2010,185.07,2.4,0.1,6.63,,,3.6,5.5,y,n,,,"off 2nd largest",0,0
1728,"Atwell Gulch_108",2011,185.07,2.4,0.1,6.63,,,3.1,6,y,y,,,"closest to tag",0,0
1727,"Atwell Gulch_108",2012,185.07,2.4,0.1,6.63,,,2.8,6,y,n,,,,0,0
6082,"Atwell Gulch_108",2013,185.07,2.4,0.1,6.63,,,4,5.4,y,n,,,"2 o'c",0,0
7754,"Atwell Gulch_108",2014,185.07,2.4,0.1,6.63,,,3.5,6.3,n,n,,,,0,0
9620,"Atwell Gulch_108",2015,185.07,2.4,0.1,6.63,,,3.2,6.6,y,n,,,,0,0
1732,"Atwell Gulch_108",2009,185.08,2.4,0.1,6.63,,,1,0.5,n,n,,,"at base of 185.7",0,0
1730,"Atwell Gulch_108",2010,185.08,2.4,0.1,6.63,,,0.2,0.2,n,n,,,,0,0
1731,"Atwell Gulch_108",2011,185.08,2.4,0.1,6.63,,,0.8,0.5,n,n,,,,0,0
1733,"Atwell Gulch_108",2012,185.08,2.4,0.1,6.63,,,1,0.8,n,n,,,,0,0
6083,"Atwell Gulch_108",2013,185.08,2.4,0.1,6.63,,,1.4,0.7,n,n,,,GONE,0,0
9621,"Atwell Gulch_108",2015,185.08,2.4,0.1,6.63,,,0,0,n,n,,,dead,0,0
2354,"Atwell Gulch_108",2011,185.09,2.4,0.1,6.63,,,0.3,0.2,n,n,,3800,,0,0
2355,"Atwell Gulch_108",2012,185.09,2.4,0.1,6.63,,,0.8,0.9,n,n,,,,0,0
6084,"Atwell Gulch_108",2013,185.09,2.4,0.1,6.63,,,0,0,n,n,,,"12 o'c",0,0
7755,"Atwell Gulch_108",2014,185.09,2.4,0.1,6.63,,,0,0,n,n,1,,,0,0
9622,"Atwell Gulch_108",2015,185.09,2.4,0.1,6.63,,,0,0,n,n,,,dead,0,0
2356,"Atwell Gulch_108",2011,185.1,2.4,0.1,6.63,,,0.3,0.2,n,n,,3800,,0,0
2357,"Atwell Gulch_108",2012,185.1,2.4,0.1,6.63,,,1.1,1.2,n,n,,,,0,0
6085,"Atwell Gulch_108",2013,185.1,2.4,0.1,6.63,,,0.6,0.3,n,n,,,"1 o'c",0,0
7756,"Atwell Gulch_108",2014,185.1,2.4,0.1,6.63,,,0,0,n,n,1,,,0,0
9623,"Atwell Gulch_108",2015,185.1,2.4,0.1,6.63,,,0,0,n,n,,,dead,0,0
2358,"Atwell Gulch_108",2011,185.11,2.4,0.1,6.63,,,0.3,0.2,n,n,,3800,,0,0
2359,"Atwell Gulch_108",2012,185.11,2.4,0.1,6.63,,,0.3,0.2,n,n,,,,0,0
6086,"Atwell Gulch_108",2013,185.11,2.4,0.1,6.63,,,0.9,0.3,n,n,,,,0,0
9624,"Atwell Gulch_108",2015,185.11,2.4,0.1,6.63,,,0,0,n,n,,,dead,0,0
11118,"Atwell Gulch_108",2015,185.13,2.4,0.1,6.63,,,1.7,1.1,n,n,,,,0,0
11119,"Atwell Gulch_108",2015,185.14,2.4,0.1,6.63,,,0.6,1,n,n,,,,0,0
1133,"Atwell Gulch_108",2009,268,2.4,0.9,19.75,,,5.8,7.5,y,n,,"1609, 1610",,0,0
1131,"Atwell Gulch_108",2010,268,2.4,0.9,19.75,,,3.6,7,y,n,,904,,0,0
1132,"Atwell Gulch_108",2011,268,2.4,0.9,19.75,,,4.4,7,y,n,,3813,,0,0
1130,"Atwell Gulch_108",2012,268,2.4,0.9,19.75,,,4,6.6,y,n,,,,0,0
6089,"Atwell Gulch_108",2013,268,2.4,0.9,19.75,,,5.4,6.9,y,n,,,,0,0
7760,"Atwell Gulch_108",2014,268,2.4,0.9,19.75,,,5.6,8,y,n,,,,0,0
9628,"Atwell Gulch_108",2015,268,2.4,0.9,19.75,,,7,8.7,y,n,3,,,0,0
2693,"Atwell Gulch_108",2012,351,2.4,0.48,12.4,,,3.1,4.7,y,n,,,,0,0
6088,"Atwell Gulch_108",2013,351,2.4,0.48,12.4,,,4.6,5.1,y,n,,,,0,0
7758,"Atwell Gulch_108",2014,351,2.4,0.48,12.4,,,5.3,6,y,n,,,,0,0
9626,"Atwell Gulch_108",2015,351,2.4,0.48,12.4,,,2.2,4.9,n,n,,,,0,0
2692,"Atwell Gulch_108",2012,377,2.4,0.45,11.55,,,2.4,4.1,n,n,,,,0,0
6087,"Atwell Gulch_108",2013,377,2.4,0.45,11.55,,,2.8,4.4,y,n,,,,0,0
7757,"Atwell Gulch_108",2014,377,2.4,0.45,11.55,,,2.1,4.2,y,n,,,,0,0
9625,"Atwell Gulch_108",2015,377,2.4,0.45,11.55,,,1.6,4.7,n,n,,,,0,0
7401,"Atwell Gulch_108",2013,1229,2.4,0.99,13.5,,,6.6,7.3,y,n,2,,,0,0
7759,"Atwell Gulch_108",2014,1229,2.4,0.99,13.5,,,5.2,7.8,y,n,,,,0,0
9627,"Atwell Gulch_108",2015,1229,2.4,0.99,13.5,,,0,0,n,n,,,dead,0,0
1090,"Atwell Gulch_108",2009,238,4,0.71,12.93,,,6.3,7.6,y,n,,1615,,0,0
1091,"Atwell Gulch_108",2010,238,4,0.71,12.93,,,7.7,9,y,n,,914,,0,0
1093,"Atwell Gulch_108",2011,238,4,0.71,12.93,,,7.6,9.2,y,n,,3824,,0,0
1092,"Atwell Gulch_108",2012,238,4,0.71,12.93,,,6.8,9.1,y,n,,,,0,0
6091,"Atwell Gulch_108",2013,238,4,0.71,12.93,,,8.4,9.2,y,n,,,,0,0
7762,"Atwell Gulch_108",2014,238,4,0.71,12.93,,,6.9,8.8,n,n,,,"black skeleton of last year's plant",0,0
9630,"Atwell Gulch_108",2015,238,4,0.71,12.93,,,0,0,n,n,,,dead,0,0
2360,"Atwell Gulch_108",2011,238.01,4,0.71,12.93,,,0.8,0.6,n,n,,3824,,0,0
2361,"Atwell Gulch_108",2012,238.01,4,0.71,12.93,,,0.6,0.7,n,n,,,,0,0
6092,"Atwell Gulch_108",2013,238.01,4,0.71,12.93,,,0,0,n,n,,,GONE,0,0
9631,"Atwell Gulch_108",2015,238.01,4,0.71,12.93,,,0,0,n,n,,,dead,0,0
2362,"Atwell Gulch_108",2011,238.02,4,0.71,12.93,,,0.3,0.2,n,n,,3824,,0,0
2363,"Atwell Gulch_108",2012,238.02,4,0.71,12.93,,,0.4,0.3,n,n,,,,0,0
6093,"Atwell Gulch_108",2013,238.02,4,0.71,12.93,,,0.9,0.6,n,n,,,"11 o'c",0,0
7763,"Atwell Gulch_108",2014,238.02,4,0.71,12.93,,,0.9,0.9,n,n,,,reddish,0,0
9632,"Atwell Gulch_108",2015,238.02,4,0.71,12.93,,,2.3,1.5,n,n,,,,0,0
2430,"Atwell Gulch_108",2011,238.03,4,0.71,12.93,,,0.4,0.3,n,n,,3824,10o'c,0,0
2431,"Atwell Gulch_108",2012,238.03,4,0.71,12.93,,,,,n,n,,,GONE,0,0
6094,"Atwell Gulch_108",2013,238.03,4,0.71,12.93,,,0.9,0.9,n,n,,,"10 o'c",0,0
7764,"Atwell Gulch_108",2014,238.03,4,0.71,12.93,,,0.8,0.6,n,n,,,,0,0
9633,"Atwell Gulch_108",2015,238.03,4,0.71,12.93,,,0.4,0.6,n,n,,,,0,0
2364,"Atwell Gulch_108",2011,238.04,4,0.71,12.93,,,0.3,0.2,n,n,,3824,,0,0
2365,"Atwell Gulch_108",2012,238.04,4,0.71,12.93,,,,,n,n,,,GONE,0,0
6095,"Atwell Gulch_108",2013,238.04,4,0.71,12.93,,,0.6,0.6,n,n,,,"9 o'c",0,0
7765,"Atwell Gulch_108",2014,238.04,4,0.71,12.93,,,1,0.8,n,n,,,,0,0
9634,"Atwell Gulch_108",2015,238.04,4,0.71,12.93,,,1.2,1.9,n,n,,,,0,0
1086,"Atwell Gulch_108",2009,241,4,0.22,12.5,,,3,4,y,n,,1614,"black spines",0,0
1087,"Atwell Gulch_108",2010,241,4,0.22,12.5,,,4.6,5.6,y,n,,913,,0,0
1089,"Atwell Gulch_108",2011,241,4,0.22,12.5,,,4.4,6,y,n,,3823,,0,0
1088,"Atwell Gulch_108",2012,241,4,0.22,12.5,,,4.7,5.8,y,n,,,,0,0
6090,"Atwell Gulch_108",2013,241,4,0.22,12.5,,,6.4,5.8,y,n,3,,"Plant 8 o'c from tag",0,0
7761,"Atwell Gulch_108",2014,241,4,0.22,12.5,,,5.5,6.6,y,n,,,,0,0
9629,"Atwell Gulch_108",2015,241,4,0.22,12.5,,,8.2,6,n,n,,,,0,0
1098,"Atwell Gulch_108",2009,266,4,0.9,13.77,,,2,2.5,n,n,,"1617, 1618",,0,0
1099,"Atwell Gulch_108",2010,266,4,0.9,13.77,,,1.7,3,y,n,,916,,0,0
1100,"Atwell Gulch_108",2011,266,4,0.9,13.77,,,2.4,4.3,y,n,,3823,,0,0
1101,"Atwell Gulch_108",2012,266,4,0.9,13.77,,,2.7,4.8,y,n,,,,0,0
6097,"Atwell Gulch_108",2013,266,4,0.9,13.77,,,2.6,4.6,y,n,,,,0,0
7767,"Atwell Gulch_108",2014,266,4,0.9,13.77,,,3.1,5.8,n,n,,,"new growth but not buds",0,0
9636,"Atwell Gulch_108",2015,266,4,0.9,13.77,,,3.1,4.7,n,n,,,,0,0
1094,"Atwell Gulch_108",2009,279,4,0.89,12.93,,,7.7,6.3,y,n,,1616,,0,0
1095,"Atwell Gulch_108",2010,279,4,0.89,12.93,,,8.4,7,y,n,,915,,0,0
1097,"Atwell Gulch_108",2011,279,4,0.89,12.93,,,7.2,9.2,y,n,,3825,,0,0
1096,"Atwell Gulch_108",2012,279,4,0.89,12.93,,,8.8,7.3,y,n,,,,0,0
6096,"Atwell Gulch_108",2013,279,4,0.89,12.93,,,7.7,7.9,y,n,,,,0,0
7766,"Atwell Gulch_108",2014,279,4,0.89,12.93,,,8.2,7.5,y,n,,,,0,0
9635,"Atwell Gulch_108",2015,279,4,0.89,12.93,,,10.4,8.1,n,n,,,,0,0
11120,"Atwell Gulch_108",2015,443,4,0.27,13.6,,,1.3,3.5,n,n,,,,0,0
2719,"Atwell Gulch_108",2012,341,9.5,1,7.8,,,2.2,4.5,y,n,,5050,,0,0
6098,"Atwell Gulch_108",2013,341,9.5,1,7.8,,,2.2,5.6,y,n,,5755,,0,0
7769,"Atwell Gulch_108",2014,341,9.5,1,7.8,,,2.7,6.1,y,n,,"(5755) 506",,0,0
9638,"Atwell Gulch_108",2015,341,9.5,1,7.8,,,3.8,6.7,y,n,,5345,,0,0
2720,"Atwell Gulch_108",2012,359,9.5,0.91,8.1,,,6.4,6.5,y,n,,5051,,0,0
6099,"Atwell Gulch_108",2013,359,9.5,0.91,8.1,,,6.3,7.2,y,n,,5756,,0,0
7770,"Atwell Gulch_108",2014,359,9.5,0.91,8.1,,,7.4,7,y,n,,"(5756) 505",,0,0
9639,"Atwell Gulch_108",2015,359,9.5,0.91,8.1,,,8.1,8,y,n,,5344,,0,0
2721,"Atwell Gulch_108",2012,359.01,9.5,0.91,8.1,,,0.5,0.6,n,n,,5051,,0,0
6100,"Atwell Gulch_108",2013,359.01,9.5,0.91,8.1,,,1.5,0.5,n,n,,,,0,0
7771,"Atwell Gulch_108",2014,359.01,9.5,0.91,8.1,,,1.6,0.6,n,n,,,,0,0
9640,"Atwell Gulch_108",2015,359.01,9.5,0.91,8.1,,,1.3,0.9,n,n,,,,0,0
2722,"Atwell Gulch_108",2012,368,9.5,1.01,9,,,3.8,5.6,y,n,,5052,,0,0
6101,"Atwell Gulch_108",2013,368,9.5,1.01,9,,,3.7,6,y,n,,5761,,0,0
7773,"Atwell Gulch_108",2014,368,9.5,1.01,9,,,4.8,6.8,y,n,,"(5761) 507",,0,0
9642,"Atwell Gulch_108",2015,368,9.5,1.01,9,,,5.2,7.2,y,n,,5342,,0,0
2723,"Atwell Gulch_108",2012,376,9.5,0.68,9.8,,,2.5,2.6,n,n,,5053,,0,0
6102,"Atwell Gulch_108",2013,376,9.5,0.68,9.8,,,4.3,2.7,y,n,,5763,,0,0
7774,"Atwell Gulch_108",2014,376,9.5,0.68,9.8,,,3.6,3.3,n,n,,"(5763) 508",,0,0
9643,"Atwell Gulch_108",2015,376,9.5,0.68,9.8,,,4.4,4,y,n,,5343,,0,0
11122,"Atwell Gulch_108",2015,439,9.5,0.94,12.05,,,1.5,2.1,n,n,,5341,,0,0
2727,"Atwell Gulch_108",2012,688,9.5,0.88,34.4,,,4,5.9,y,n,,5058,,0,0
6106,"Atwell Gulch_108",2013,688,9.5,0.88,34.4,,,6.2,6.9,y,n,,5789,,0,0
7780,"Atwell Gulch_108",2014,688,9.5,0.88,34.4,,,4.1,7.2,n,n,,"(5789) 514",,0,0
9650,"Atwell Gulch_108",2015,688,9.5,0.88,34.4,,,4,6.9,y,n,,5332,,0,0
2728,"Atwell Gulch_108",2012,690,9.5,0.63,37.3,,,2.5,5.5,y,n,,5057,,0,0
6107,"Atwell Gulch_108",2013,690,9.5,0.63,37.3,,,3.8,5.5,y,n,1,5790,,0,0
7781,"Atwell Gulch_108",2014,690,9.5,0.63,37.3,,,3,5.9,n,n,,"(5790) 535",,0,0
9651,"Atwell Gulch_108",2015,690,9.5,0.63,37.3,,,3.5,5.5,n,n,,5328,,0,0
11121,"Atwell Gulch_108",2015,690.01,9.5,0.63,37.3,,,1.2,0.5,n,n,,,,0,0
2724,"Atwell Gulch_108",2012,692,9.5,0.46,11.8,,,4.1,4.3,n,n,,5054,,0,0
6103,"Atwell Gulch_108",2013,692,9.5,0.46,11.8,,,4.2,5.1,y,n,,5769,,0,0
7775,"Atwell Gulch_108",2014,692,9.5,0.46,11.8,,,4.1,5.8,n,n,,"(5769) 509",,0,0
9644,"Atwell Gulch_108",2015,692,9.5,0.46,11.8,,,4.6,7,y,n,,5340,,0,0
2725,"Atwell Gulch_108",2012,693,9.5,0.27,12.2,,,2,4.4,y,n,,5055,,0,0
6104,"Atwell Gulch_108",2013,693,9.5,0.27,12.2,,,2.2,5.6,y,n,,5771,,0,0
7776,"Atwell Gulch_108",2014,693,9.5,0.27,12.2,,,2.4,5.2,y,n,,"(5771) 510","tiny stars",0,0
9645,"Atwell Gulch_108",2015,693,9.5,0.27,12.2,,,2.8,6.6,y,n,,5339,,0,0
2726,"Atwell Gulch_108",2012,694,9.5,0.07,26.9,,,6.6,8.7,y,n,,5056,,0,0
6105,"Atwell Gulch_108",2013,694,9.5,0.07,26.9,,,6.5,8.1,y,n,,5776,,0,0
7777,"Atwell Gulch_108",2014,694,9.5,0.07,26.9,,,0,0,n,n,,"(5776) 511",dead,0,0
9646,"Atwell Gulch_108",2015,694,9.5,0.07,26.9,,,0,0,n,n,,5338,"still dead",0,0
7403,"Atwell Gulch_108",2013,1208,9.5,0.9,8.6,,,4.6,5.2,y,n,,,,0,0
7772,"Atwell Gulch_108",2014,1208,9.5,0.9,8.6,,,5.5,4,y,n,,,,0,0
9641,"Atwell Gulch_108",2015,1208,9.5,0.9,8.6,,,4.5,6,y,n,,,,0,0
7402,"Atwell Gulch_108",2013,1235,9.5,0.8,7.6,,,1.9,2.6,n,n,,,,0,0
7768,"Atwell Gulch_108",2014,1235,9.5,0.8,7.6,,,1.9,2.8,n,n,,,,0,0
9637,"Atwell Gulch_108",2015,1235,9.5,0.8,7.6,,,2.3,3.5,n,n,,,,0,0
7404,"Atwell Gulch_108",2013,9999,9.5,0.07,26.9,,,3.6,6.2,y,n,,5777,"7 o'c",0,0
7778,"Atwell Gulch_108",2014,9999,9.5,0.07,26.9,,,4.4,6.5,y,n,,5777,"no tag",0,0
9647,"Atwell Gulch_108",2015,9999,9.5,0.07,26.9,,,3.4,6.7,n,n,,,,0,0
7405,"Atwell Gulch_108",2013,9999.001,9.5,0.07,26.9,,,1.4,0.9,n,n,,,"6 o'c",0,0
7779,"Atwell Gulch_108",2014,9999.001,9.5,0.07,26.9,,,1.3,1.2,n,n,,,,0,0
9648,"Atwell Gulch_108",2015,9999.001,9.5,0.07,26.9,,,0.8,1.1,n,n,,,,0,0
9401,"Atwell Gulch_108",2014,9999.013,9.5,0.13,34.15,,,3.8,5.2,y,n,,513,"in sage plant",0,0
9649,"Atwell Gulch_108",2015,9999.013,9.5,0.13,34.15,,,6.2,6.6,y,n,,5333,,0,0
1030,"Atwell Gulch_108",2009,167,11,0.25,7.91,,,1.6,1.6,n,n,,,,0.25,7.91
1031,"Atwell Gulch_108",2010,167,11,0.25,7.91,,,1.7,2,n,n,,924,,0.25,7.91
1033,"Atwell Gulch_108",2011,167,11,0.25,7.91,,,2.2,3.2,n,n,,3816,,0.25,7.91
1032,"Atwell Gulch_108",2012,167,11,0.25,7.91,,,2.5,2.4,n,n,,,,0.25,7.91
6117,"Atwell Gulch_108",2013,167,11,0.25,7.91,,,3.5,4,y,n,,,"in thick grass",0.25,7.91
7790,"Atwell Gulch_108",2014,167,11,0.25,7.91,,,3.8,4.2,y,n,,,,0.25,7.91
