ScGl_tag_id,ScGl_tag_no,ScGl_transect_id,X_coord,Y_coord,ScGl_transect_id_old,X_coord_old,Y_coord_old,degrees,distance,location,old_tag_id,old_tag_id_2,old_pond_tag_id,old_pond_transect_id,duplicate_tag_id,duplicate_tag_id_2
2,34,1,0.56,10.1,0,0,0,NULL,NULL,,69,0,0,0,0,0
3,697,82,1.2,37.7,0,0,0,NULL,NULL,,70,0,0,0,0,0
