"ScGl_data_id","Site","Year","Tag","Transect","X.coord.m.","Y.coord.m.","Degrees","Direction","Height.cm.","Width.cm.","Fl","Br","Minis","PhotoNumber","Comments","X_coord_old","Y_coord_old","Vol"
"6",1105,"Atwell Gulch_108",2009,185,"2.4",0.1,6.63,NA,NA,8.2,10.3,"y","n",NA,"1605, 1606","largest of 3; also photos 1607, 1608",0,0,683.247707469649
"7",1103,"Atwell Gulch_108",2010,185,"2.4",0.1,6.63,NA,NA,9.5,8.3,"y","n",NA,"900","No tag 186",0,0,514.007755026277
"8",1104,"Atwell Gulch_108",2011,185,"2.4",0.1,6.63,NA,NA,7.7,9,"y","n",NA,"3800","",0,0,489.852834510988
"9",1102,"Atwell Gulch_108",2012,185,"2.4",0.1,6.63,NA,NA,6.5,8.1,"y","n",NA,"","",0,0,334.944827753293
"10",6075,"Atwell Gulch_108",2013,185,"2.4",0.1,6.63,NA,NA,7.6,8.3,"y","n",NA,"","9 o'c",0,0,411.206204021022
"11",7748,"Atwell Gulch_108",2014,185,"2.4",0.1,6.63,NA,NA,8.1,9.5,"y","n",1,"","",0,0,574.14569239762
"12",9613,"Atwell Gulch_108",2015,185,"2.4",0.1,6.63,NA,NA,9.2,9.6,"y","n",2,"","",0,0,665.917111596121
"13",11354,"Atwell Gulch_108",2016,185,"2.4",0.1,6.63,NA,NA,0,0,"n","n",0,"","",0,0,0
"14",21534,"Atwell Gulch_108",2017,185,"2.4",0.1,6.63,NA,NA,0,0,"n","n",0,"","",0,0,0
"15",21535,"Atwell Gulch_108",2018,185,"2.4",0.1,6.63,NA,NA,0,0,"n","n",0,"","",0,0,0
"16",1109,"Atwell Gulch_108",2009,185.01,"2.4",0.1,6.63,NA,NA,2.9,4.2,"n","n",NA,"","at baseof largest, close to transect line",0,0,40.1778284467599
"17",1106,"Atwell Gulch_108",2010,185.01,"2.4",0.1,6.63,NA,NA,2.7,3.6,"y","n",NA,"901","",0,0,27.4826525336035
"18",1108,"Atwell Gulch_108",2011,185.01,"2.4",0.1,6.63,NA,NA,2.1,4.2,"y","n",NA,"3800","",0,0,29.0942895648951
"19",1107,"Atwell Gulch_108",2012,185.01,"2.4",0.1,6.63,NA,NA,2.6,3.9,"y","n",NA,"","",0,0,31.0593557697155
"20",6076,"Atwell Gulch_108",2013,185.01,"2.4",0.1,6.63,NA,NA,4,4.3,"y","n",NA,"","6 o'c",0,0,58.0880481648753
"21",7749,"Atwell Gulch_108",2014,185.01,"2.4",0.1,6.63,NA,NA,3.1,4.6,"y","n",NA,"","",0,0,51.518977926219
"22",9614,"Atwell Gulch_108",2015,185.01,"2.4",0.1,6.63,NA,NA,4.7,5.4,"y","n",NA,"","",0,0,107.640389089947
"23",11355,"Atwell Gulch_108",2016,185.01,"2.4",0.1,6.63,NA,NA,0,0,"n","n",NA,"","no data",0,0,0
"24",15222,"Atwell Gulch_108",2017,185.01,"2.4",0.1,6.63,NA,NA,2.8,3.1,"n","n",NA,"","SW 23 cm to tag",0,0,21.1334937806985
"25",19311,"Atwell Gulch_108",2018,185.01,"2.4",0.1,6.63,NA,NA,3.5,4,"y","n",NA,"","",0,0,43.9822971502571
"26",21536,"Atwell Gulch_108",2019,185.01,"2.4",0.1,6.63,NA,NA,3.4,4,"y","n",NA,"1","",0,0,42.7256600888212
"27",1111,"Atwell Gulch_108",2009,185.02,"2.4",0.1,6.63,NA,NA,1,0.5,"n","n",NA,"","tiny plants at base of large individual",0,0,0.196349540849362
"28",1110,"Atwell Gulch_108",2010,185.02,"2.4",0.1,6.63,NA,NA,0.5,0.3,"n","n",NA,"902","clockwise from furthest from tag against rock",0,0,0.0353429173528852
"29",1113,"Atwell Gulch_108",2011,185.02,"2.4",0.1,6.63,NA,NA,1.1,0.6,"n","n",NA,"3800","",0,0,0.31101767270539
"30",1112,"Atwell Gulch_108",2012,185.02,"2.4",0.1,6.63,NA,NA,1,0.5,"n","n",NA,"","",0,0,0.196349540849362
"31",6077,"Atwell Gulch_108",2013,185.02,"2.4",0.1,6.63,NA,NA,1.4,0.9,"n","n",NA,"","4 o'c",0,0,0.890641517292706
"32",7750,"Atwell Gulch_108",2014,185.02,"2.4",0.1,6.63,NA,NA,1.3,1.8,"n","n",NA,"","",0,0,3.30809706423005
"33",9615,"Atwell Gulch_108",2015,185.02,"2.4",0.1,6.63,NA,NA,2.2,2.6,"n","n",NA,"","",0,0,11.6804414860469
"34",11356,"Atwell Gulch_108",2016,185.02,"2.4",0.1,6.63,NA,NA,0,0,"n","n",NA,"","",0,0,0
"35",15224,"Atwell Gulch_108",2017,185.02,"2.4",0.1,6.63,NA,NA,0,0,"n","n",NA,"","",0,0,0
"36",19313,"Atwell Gulch_108",2018,185.02,"2.4",0.1,6.63,NA,NA,0,0,"n","n",NA,"","",0,0,0
"37",1115,"Atwell Gulch_108",2009,185.03,"2.4",0.1,6.63,NA,NA,1,0.5,"n","n",NA,"","tiny plants at base of large individual",0,0,0.196349540849362
"38",1114,"Atwell Gulch_108",2010,185.03,"2.4",0.1,6.63,NA,NA,0.5,0.3,"n","n",NA,"","all at base of largest",0,0,0.0353429173528852
"39",1117,"Atwell Gulch_108",2011,185.03,"2.4",0.1,6.63,NA,NA,1,0.8,"n","n",NA,"3800","3800",0,0,0.502654824574367
"40",1116,"Atwell Gulch_108",2012,185.03,"2.4",0.1,6.63,NA,NA,0.8,0.7,"n","n",NA,"","",0,0,0.3078760800518
"41",6078,"Atwell Gulch_108",2013,185.03,"2.4",0.1,6.63,NA,NA,1.9,1.3,"n","n",NA,"","10 o'c",0,0,2.52191350266921
"42",9616,"Atwell Gulch_108",2015,185.03,"2.4",0.1,6.63,NA,NA,0,0,"n","n",NA,"","dead",0,0,0
"43",11357,"Atwell Gulch_108",2016,185.03,"2.4",0.1,6.63,NA,NA,0,0,"n","n",NA,"","",0,0,0
"44",15225,"Atwell Gulch_108",2017,185.03,"2.4",0.1,6.63,NA,NA,0,0,"n","n",NA,"","",0,0,0
"45",19314,"Atwell Gulch_108",2018,185.03,"2.4",0.1,6.63,NA,NA,0,0,"n","n",NA,"","",0,0,0
"46",1120,"Atwell Gulch_108",2009,185.04,"2.4",0.1,6.63,NA,NA,1,0.5,"n","n",NA,"","tiny plants at base of large individual",0,0,0.196349540849362
"47",1118,"Atwell Gulch_108",2010,185.04,"2.4",0.1,6.63,NA,NA,0.3,0.2,"n","n",NA,"","",0,0,0.00942477796076938
"48",1121,"Atwell Gulch_108",2011,185.04,"2.4",0.1,6.63,NA,NA,0.8,0.7,"n","n",NA,"","",0,0,0.3078760800518
"49",1119,"Atwell Gulch_108",2012,185.04,"2.4",0.1,6.63,NA,NA,0.4,0.3,"n","n",NA,"","",0,0,0.0282743338823081
"50",6079,"Atwell Gulch_108",2013,185.04,"2.4",0.1,6.63,NA,NA,1,0.6,"n","n",NA,"","11 o'c",0,0,0.282743338823081
"51",7751,"Atwell Gulch_108",2014,185.04,"2.4",0.1,6.63,NA,NA,0.8,0.6,"n","n",NA,"","",0,0,0.226194671058465
"52",9617,"Atwell Gulch_108",2015,185.04,"2.4",0.1,6.63,NA,NA,1.3,1.3,"n","n",NA,"","",0,0,1.72551976498419
"53",11358,"Atwell Gulch_108",2016,185.04,"2.4",0.1,6.63,NA,NA,0,0,"n","n",NA,"","",0,0,0
"54",15226,"Atwell Gulch_108",2017,185.04,"2.4",0.1,6.63,NA,NA,0,0,"n","n",NA,"","",0,0,0
"55",19315,"Atwell Gulch_108",2018,185.04,"2.4",0.1,6.63,NA,NA,0,0,"n","n",NA,"","",0,0,0
"56",1124,"Atwell Gulch_108",2009,185.05,"2.4",0.1,6.63,NA,NA,1,0.5,"n","n",NA,"","tiny plants at base of large individual",0,0,0.196349540849362
"57",1122,"Atwell Gulch_108",2010,185.05,"2.4",0.1,6.63,NA,NA,0.4,0.2,"n","n",NA,"","",0,0,0.0125663706143592
"58",1125,"Atwell Gulch_108",2011,185.05,"2.4",0.1,6.63,NA,NA,1,0.6,"n","n",NA,"3800","",0,0,0.282743338823081
"59",1123,"Atwell Gulch_108",2012,185.05,"2.4",0.1,6.63,NA,NA,0.4,0.3,"n","n",NA,"","",0,0,0.0282743338823081
"60",6080,"Atwell Gulch_108",2013,185.05,"2.4",0.1,6.63,NA,NA,0.7,0.5,"n","n",NA,"","8 o'c",0,0,0.137444678594553
"61",7752,"Atwell Gulch_108",2014,185.05,"2.4",0.1,6.63,NA,NA,0.9,0.6,"n","n",NA,"","",0,0,0.254469004940773
"62",9618,"Atwell Gulch_108",2015,185.05,"2.4",0.1,6.63,NA,NA,1.2,0.7,"n","n",NA,"","",0,0,0.4618141200777
"63",11359,"Atwell Gulch_108",2016,185.05,"2.4",0.1,6.63,NA,NA,0,0,"n","n",NA,"","",0,0,0
"64",15227,"Atwell Gulch_108",2017,185.05,"2.4",0.1,6.63,NA,NA,0,0,"n","n",NA,"","",0,0,0
"65",19316,"Atwell Gulch_108",2018,185.05,"2.4",0.1,6.63,NA,NA,0,0,"n","n",NA,"","",0,0,0
"66",1128,"Atwell Gulch_108",2009,185.06,"2.4",0.1,6.63,NA,NA,1,0.5,"n","n",NA,"","tiny plants at base of large individual",0,0,0.196349540849362
"67",1127,"Atwell Gulch_108",2010,185.06,"2.4",0.1,6.63,NA,NA,0.5,0.4,"n","n",NA,"","",0,0,0.0628318530717959
"68",1129,"Atwell Gulch_108",2011,185.06,"2.4",0.1,6.63,NA,NA,1,0.9,"n","n",NA,"3800","",0,0,0.636172512351933
"69",1126,"Atwell Gulch_108",2012,185.06,"2.4",0.1,6.63,NA,NA,0.4,0.2,"n","n",NA,"","",0,0,0.0125663706143592
"70",6081,"Atwell Gulch_108",2013,185.06,"2.4",0.1,6.63,NA,NA,0.4,0.3,"n","n",NA,"","11 o'c",0,0,0.0282743338823081
"71",7753,"Atwell Gulch_108",2014,185.06,"2.4",0.1,6.63,NA,NA,0.7,0.5,"n","n",NA,"","",0,0,0.137444678594553
"72",9619,"Atwell Gulch_108",2015,185.06,"2.4",0.1,6.63,NA,NA,1.1,0.9,"n","n",NA,"","",0,0,0.699789763587127
"73",11360,"Atwell Gulch_108",2016,185.06,"2.4",0.1,6.63,NA,NA,0,0,"n","n",NA,"","",0,0,0
"74",15228,"Atwell Gulch_108",2017,185.06,"2.4",0.1,6.63,NA,NA,0,0,"n","n",NA,"","",0,0,0
"75",19317,"Atwell Gulch_108",2018,185.06,"2.4",0.1,6.63,NA,NA,0,0,"n","n",NA,"","",0,0,0
"76",1729,"Atwell Gulch_108",2009,185.07,"2.4",0.1,6.63,NA,NA,4.2,7.4,"y","n",NA,"","lower plant, closest",0,0,180.635294396106
"77",1726,"Atwell Gulch_108",2010,185.07,"2.4",0.1,6.63,NA,NA,3.6,5.5,"y","n",NA,"","off 2nd largest",0,0,85.5298599939821
"78",1728,"Atwell Gulch_108",2011,185.07,"2.4",0.1,6.63,NA,NA,3.1,6,"y","y",NA,"","closest to tag",0,0,87.6504350351552
"79",1727,"Atwell Gulch_108",2012,185.07,"2.4",0.1,6.63,NA,NA,2.8,6,"y","n",NA,"","",0,0,79.1681348704628
"80",6082,"Atwell Gulch_108",2013,185.07,"2.4",0.1,6.63,NA,NA,4,5.4,"y","n",NA,"","2 o'c",0,0,91.6088417786784
"81",7754,"Atwell Gulch_108",2014,185.07,"2.4",0.1,6.63,NA,NA,3.5,6.3,"n","n",NA,"","",0,0,109.103585868357
"82",9620,"Atwell Gulch_108",2015,185.07,"2.4",0.1,6.63,NA,NA,3.2,6.6,"y","n",NA,"","",0,0,109.478220792297
"83",11361,"Atwell Gulch_108",2016,185.07,"2.4",0.1,6.63,NA,NA,3.9,5.5,"n","y",2,"","Browsed Out",0,0,92.657348326814
"84",15229,"Atwell Gulch_108",2017,185.07,"2.4",0.1,6.63,NA,NA,1.6,2.3,"n","n",NA,"","tag 17 cm SW",0,0,6.647610054996
"85",19318,"Atwell Gulch_108",2018,185.07,"2.4",0.1,6.63,NA,NA,4,4.5,"y","n",NA,"","",0,0,63.6172512351933
"86",21537,"Atwell Gulch_108",2019,185.07,"2.4",0.1,6.63,NA,NA,4.7,5.4,"y","n",NA,"3","",0,0,107.640389089947
"87",1732,"Atwell Gulch_108",2009,185.08,"2.4",0.1,6.63,NA,NA,1,0.5,"n","n",NA,"","at base of 185.7",0,0,0.196349540849362
"88",1730,"Atwell Gulch_108",2010,185.08,"2.4",0.1,6.63,NA,NA,0.2,0.2,"n","n",NA,"","",0,0,0.00628318530717959
"89",1731,"Atwell Gulch_108",2011,185.08,"2.4",0.1,6.63,NA,NA,0.8,0.5,"n","n",NA,"","",0,0,0.15707963267949
"90",1733,"Atwell Gulch_108",2012,185.08,"2.4",0.1,6.63,NA,NA,1,0.8,"n","n",NA,"","",0,0,0.502654824574367
"91",6083,"Atwell Gulch_108",2013,185.08,"2.4",0.1,6.63,NA,NA,1.4,0.7,"n","n",NA,"","GONE",0,0,0.538783140090649
"92",9621,"Atwell Gulch_108",2015,185.08,"2.4",0.1,6.63,NA,NA,0,0,"n","n",NA,"","dead",0,0,0
"93",11362,"Atwell Gulch_108",2016,185.08,"2.4",0.1,6.63,NA,NA,0,0,"n","n",NA,"","",0,0,0
"94",15230,"Atwell Gulch_108",2017,185.08,"2.4",0.1,6.63,NA,NA,0,0,"n","n",NA,"","",0,0,0
"95",19319,"Atwell Gulch_108",2018,185.08,"2.4",0.1,6.63,NA,NA,0,0,"n","n",NA,"","",0,0,0
"96",2354,"Atwell Gulch_108",2011,185.09,"2.4",0.1,6.63,NA,NA,0.3,0.2,"n","n",NA,"3800","",0,0,0.00942477796076938
"97",2355,"Atwell Gulch_108",2012,185.09,"2.4",0.1,6.63,NA,NA,0.8,0.9,"n","n",NA,"","",0,0,0.508938009881547
"98",6084,"Atwell Gulch_108",2013,185.09,"2.4",0.1,6.63,NA,NA,0,0,"n","n",NA,"","12 o'c",0,0,0
"99",7755,"Atwell Gulch_108",2014,185.09,"2.4",0.1,6.63,NA,NA,0,0,"n","n",1,"","",0,0,0
"100",9622,"Atwell Gulch_108",2015,185.09,"2.4",0.1,6.63,NA,NA,0,0,"n","n",NA,"","dead",0,0,0
"101",11363,"Atwell Gulch_108",2016,185.09,"2.4",0.1,6.63,NA,NA,0,0,"n","n",NA,"","",0,0,0
"102",15231,"Atwell Gulch_108",2017,185.09,"2.4",0.1,6.63,NA,NA,0,0,"n","n",NA,"","",0,0,0
"103",19320,"Atwell Gulch_108",2018,185.09,"2.4",0.1,6.63,NA,NA,0,0,"n","n",NA,"","",0,0,0
"104",2356,"Atwell Gulch_108",2011,185.1,"2.4",0.1,6.63,NA,NA,0.3,0.2,"n","n",NA,"3800","",0,0,0.00942477796076938
"105",2357,"Atwell Gulch_108",2012,185.1,"2.4",0.1,6.63,NA,NA,1.1,1.2,"n","n",NA,"","",0,0,1.24407069082156
"106",6085,"Atwell Gulch_108",2013,185.1,"2.4",0.1,6.63,NA,NA,0.6,0.3,"n","n",NA,"","1 o'c",0,0,0.0424115008234622
"107",7756,"Atwell Gulch_108",2014,185.1,"2.4",0.1,6.63,NA,NA,0,0,"n","n",1,"","",0,0,0
"108",9623,"Atwell Gulch_108",2015,185.1,"2.4",0.1,6.63,NA,NA,0,0,"n","n",NA,"","dead",0,0,0
"109",11364,"Atwell Gulch_108",2016,185.1,"2.4",0.1,6.63,NA,NA,0,0,"n","n",NA,"","",0,0,0
"110",15232,"Atwell Gulch_108",2017,185.1,"2.4",0.1,6.63,NA,NA,0,0,"n","n",NA,"","",0,0,0
"111",19321,"Atwell Gulch_108",2018,185.1,"2.4",0.1,6.63,NA,NA,0,0,"n","n",NA,"","",0,0,0
"112",2358,"Atwell Gulch_108",2011,185.11,"2.4",0.1,6.63,NA,NA,0.3,0.2,"n","n",NA,"3800","",0,0,0.00942477796076938
"113",2359,"Atwell Gulch_108",2012,185.11,"2.4",0.1,6.63,NA,NA,0.3,0.2,"n","n",NA,"","",0,0,0.00942477796076938
"114",6086,"Atwell Gulch_108",2013,185.11,"2.4",0.1,6.63,NA,NA,0.9,0.3,"n","n",NA,"","",0,0,0.0636172512351933
"115",9624,"Atwell Gulch_108",2015,185.11,"2.4",0.1,6.63,NA,NA,0,0,"n","n",NA,"","dead",0,0,0
"116",11365,"Atwell Gulch_108",2016,185.11,"2.4",0.1,6.63,NA,NA,0,0,"n","n",NA,"","",0,0,0
"117",15233,"Atwell Gulch_108",2017,185.11,"2.4",0.1,6.63,NA,NA,0,0,"n","n",NA,"","",0,0,0
"118",19322,"Atwell Gulch_108",2018,185.11,"2.4",0.1,6.63,NA,NA,0,0,"n","n",NA,"","",0,0,0
"119",21538,"Atwell Gulch_108",2019,185.11,"2.4",0.1,6.63,NA,NA,0,0,"n","n",NA,"","dead",0,0,0
